item_id,base_id,upgrade_level,is_variant,name,category,rank,class_label,color,status,weight,durability,max_durability,bullet_resistance,vitality,movement_speed,sprint_speed,stamina,stamina_regeneration,health_regeneration,periodic_healing,healing_effectiveness,carry_weight,bleeding_output,bleeding_resistance,burn_reaction,tear_reaction,tear_protection,explosion_protection,electricity_protection,fire_protection,chemical_protection,radiation_protection,thermal_protection,biological_protection,psycho_protection,frost_protection,stability,radiation,psycho,temperature,biological,frost,combustion,chemical_burn_reaction,electroshock_reaction,recoil,wiggle,effective_durability,total_sprint_speed,hp_regen_score,source_path
0r429,0r429,0,False,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,39.0,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,139.0,100.0,0.5,stalzone-database/ru/items/armor/combined/0r429.json
0r429,0r429,1,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,40.27226,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,140.27226000000002,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/1.json
0r429,0r429,2,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,41.544514,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,141.544514,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/2.json
0r429,0r429,3,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,42.81677,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,142.81677,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/3.json
0r429,0r429,4,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,44.089024,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,144.089024,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/4.json
0r429,0r429,5,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,47.905792,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,147.905792,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/5.json
0r429,0r429,6,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,49.814175,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,149.814175,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/6.json
0r429,0r429,7,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,51.722557,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,151.722557,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/7.json
0r429,0r429,8,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,53.630943,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,153.630943,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/8.json
0r429,0r429,9,True,Бандитский костюм,armor/combined,Отмычка,Комбинированные,DEFAULT,PERSONAL_ON_USE,3.5,100.0,100.0,55.53933,,,,,,,,,5.0,,35.0,,,58.0,35.0,15.0,15.0,15.0,30.0,20.0,30.0,0.0,,,,,,,,,,,,,155.53933,100.0,0.5,stalzone-database/ru/items/armor/combined/_variants/0r429/9.json
