item_id,name,category,quality_tier,quality_raw,upgrade_level,price,price_basis,local_confidence,staldata_fair_price,staldata_fair_price_status,staldata_fair_price_source,best_ask,market_ask_p20,active_lots,sales_count,sales_7d,sample_count,liquidity_score,risk_score,risk_level,confidence_score,confidence_level,segment_key
04yr,Виток,artefact/biochemical,common,0,0,140009,recent_7d,highest,140009,ok,raw_7d,140000,148000,3,52,11,52,22.0,52.4,medium,100.0,high,RU:04yr:artifact:common:0:+0
04yr,Виток,artefact/biochemical,common,0,1,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:common:0:+1
04yr,Виток,artefact/biochemical,common,0,2,120000,low_data_history,low,120000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:common:0:+2
04yr,Виток,artefact/biochemical,common,0,5,360000,active_ask_only,very_low,,unavailable,,360000,360000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:common:0:+5
04yr,Виток,artefact/biochemical,common,0,8,,unavailable,none,,unavailable,,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:common:0:+8
04yr,Виток,artefact/biochemical,common,0,9,400000,active_ask_only,very_low,,unavailable,,400000,400000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:common:0:+9
04yr,Виток,artefact/biochemical,common,0,11,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:common:0:+11
04yr,Виток,artefact/biochemical,uncommon,1,0,175000,recent_7d,highest,175000,ok,raw_7d,190000,206000,3,205,44,205,88.0,40.31,medium,100.0,high,RU:04yr:artifact:uncommon:1:+0
04yr,Виток,artefact/biochemical,uncommon,1,1,170000,low_data_history,low,170000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:04yr:artifact:uncommon:1:+1
04yr,Виток,artefact/biochemical,uncommon,1,2,230000,older_history,medium,230000,low_data,history_3h,,,0,5,0,5,0.0,82.03,high,50.0,medium,RU:04yr:artifact:uncommon:1:+2
