boost_id,name,category,rank,class_label,effect_type,priority,duration_seconds,cooldown_seconds,toxicity_penalty,instant_healing,excluded_from_builds,exclude_reason,bullet_resistance,vitality,movement_speed,sprint_speed,stamina,stamina_regeneration,health_regeneration,periodic_healing,healing_effectiveness,carry_weight,bleeding_output,bleeding_resistance,burn_reaction,tear_reaction,tear_protection,explosion_protection,electricity_protection,fire_protection,chemical_protection,radiation_resistance,psycho_resistance,temperature_resistance,biological_resistance,frost_resistance,bleeding_damage_resistance,radiation_protection,thermal_protection,biological_protection,psycho_protection,frost_protection,stability,radiation,psycho,temperature,biological,frost,toxicity,combustion,chemical_burn_reaction,electroshock_reaction,recoil,wiggle,satiety,effective_durability,total_sprint_speed,hp_regen_score,source_path
rwow5,Бутылка чистой воды,supply/drink,Отмычка,Напитки,,1.0,5.0,5.0,,,True,effect_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/drink/rwow5.json
p6256,«Панацея»,supply/medicine,Ветеран,Медикаменты,Вывод,20.0,3.0,3.0,25.0,7.2,True,effect_type,,,,,,,,,,,-15.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,-155.0,-155.0,-125.0,-155.0,-60.0,,-3.0,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/p6256.json
qj9y6,Антидот второго класса,supply/medicine,Сталкер,Медикаменты,Вывод,12.0,3.0,3.0,25.0,4.0,True,effect_type,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-85.0,-85.0,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/qj9y6.json
j5mq7,Антидот первого класса,supply/medicine,Отмычка,Медикаменты,Вывод,4.0,3.0,3.0,25.0,,True,effect_type,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-30.0,-30.0,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/j5mq7.json
lynrj,Антидот третьего класса,supply/medicine,Сталкер,Медикаменты,Вывод,16.0,3.0,3.0,25.0,5.5,True,effect_type,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-125.0,-125.0,,,-2.0,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/lynrj.json
y3kgz,Антирад Б-191,supply/medicine,Отмычка,Медикаменты,Вывод,4.0,3.0,3.0,25.0,,True,effect_type,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-30.0,-30.0,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/y3kgz.json
wjw9p,Антирад Б-292,supply/medicine,Сталкер,Медикаменты,Вывод,12.0,3.0,3.0,25.0,4.0,True,effect_type,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-85.0,-85.0,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/wjw9p.json
4qgop,Антирад Б-393,supply/medicine,Сталкер,Медикаменты,Вывод,16.0,3.0,3.0,25.0,5.5,True,effect_type,,,,,,,,,,,-10.0,,,,,,,,,100.0,100.0,,,,,,,,,,,-125.0,-125.0,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/4qgop.json
zzqk2,Бинт,supply/medicine,Отмычка,Медикаменты,Вывод,4.0,3.0,3.0,,4.5,True,effect_type,,,,,,,,,,,-12.5,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/zzqk2.json
drmwj,Технический спирт,supply/drink,Отмычка,Напитки,Вывод,4.0,3.0,3.0,75.0,,True,effect_type,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,-30.0,-30.0,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/drink/drmwj.json
1r2l6,«Астрикцин»,supply/medicine,Ветеран,Медикаменты,Защита,8.0,1800.0,5.0,20.0,,False,,,,,,,,0.9,,,,-0.93,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.18,stalzone-database/ru/items/supply/medicine/1r2l6.json
g4lz0,«Биозаплатка»,supply/medicine,Мастер,Медикаменты,Защита,10.0,1800.0,3.0,,,False,,,,,,,,1.0,,4.4,,-1.05,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.2,stalzone-database/ru/items/supply/medicine/g4lz0.json
5lzyg,«Гемостат»,supply/medicine,Отмычка,Медикаменты,Защита,2.0,1800.0,5.0,20.0,,False,,,,,,,,0.6,,,,-0.58,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.12,stalzone-database/ru/items/supply/medicine/5lzyg.json
n4vw6,Мазь от ожогов,supply/medicine,Сталкер,Медикаменты,Защита,5.0,1800.0,5.0,,,False,,4.2,,,,,,,,,,,,,,,,,19.0,19.0,,,,,,,,,,,,,,,,,,,-0.5,,,,,,10420.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/n4vw6.json
964k0,Сильная мазь от ожогов,supply/medicine,Мастер,Медикаменты,Защита,10.0,1800.0,5.0,,,False,,5.8,,,,,,1.3,,,,,,,,,,,26.3,26.3,,,,,,,,,,,,,,,,,,,-0.7,,,,,,10580.0,100.0,0.26,stalzone-database/ru/items/supply/medicine/964k0.json
2o9g0,«Озверин»,supply/medicine,Ветеран,Медикаменты,Кратковременное усиление,7.0,270.0,5.0,40.0,,False,,22.2,,,,35.5,,3.8,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12220.0,100.0,0.76,stalzone-database/ru/items/supply/medicine/2o9g0.json
y3knz,«Убийца Боли»,supply/medicine,Мастер,Медикаменты,Кратковременное усиление,10.0,270.0,5.0,40.0,,False,,,3.3,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,10330.0,103.9,0.0,stalzone-database/ru/items/supply/medicine/y3knz.json
6w5lj,«Шизоерш»,supply/medicine,Мастер,Медикаменты,Кратковременное усиление,10.0,270.0,5.0,40.0,,False,,23.3,3.3,,,37.3,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,12736.89,100.0,0.0,stalzone-database/ru/items/supply/medicine/6w5lj.json
n4vo6,Аномальный мандарин,supply/food,Ветеран,Еда,Кратковременное усиление,8.0,270.0,3.0,,,False,,,3.1,,,35.5,7.8,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310.0,100.0,0.0,stalzone-database/ru/items/supply/food/n4vo6.json
