source,region,name,last_seen,shots_fired,shots_hit,accuracy_pct,headshots,headshot_hit_pct,notes
stalcrafthq,EU,Factor,2 weeks ago,469059,254482,54,107724,42,
stalcrafthq,SEA,Sketch,5 months ago,263389,329592,125,120381,37,shotgun_spotted
stalcrafthq,RU,Character_,1 week ago,2762886,1940909,70,708871,37,
stalcrafthq,EU,YouAreWeak,3 months ago,87168,42932,49,32330,75,
stalcrafthq,EU,A_n_A_n_A_s_,23 hours ago,1842752,823345,45,537796,65,
stalcrafthq,EU,Cta,3 hours ago,1000565,389707,39,186342,48,
stalcrafthq,SEA,Coldasher,2 hours ago,136921,78430,57,77391,99,
stalcrafthq,NA,Aatrius,1 week ago,155608,81298,52,39881,49,
stalcrafthq,SEA,TraBka_Cpr,6 days ago,137718,71698,52,52146,73,
stalcrafthq,EU,Lieutenant,5 months ago,226116,145067,64,65110,45,
stalcrafthq,EU,Calculated,1 week ago,54949,29206,53,18524,63,
stalcrafthq,EU,Lost_intime,2 weeks ago,190617,75423,40,54025,72,
stalcrafthq,SEA,Kalash,2 weeks ago,2328276,1386446,60,703989,51,
stalcrafthq,RU,YO____,1 week ago,61278,24831,41,16378,66,
stalcrafthq,RU,Kono_Sotoro,1 week ago,1772465,972079,55,476200,49,
stalcrafthq,SEA,RickyTheBlicky,1 week ago,432901,225685,52,251400,111,headshots_over_hits
stalcrafthq,SEA,Elyctra,2 months ago,342407,295808,86,99697,34,
stalcrafthq,NA,Sir_Foogleton,2 weeks ago,105603,100832,95,44255,44,
stalcrafthq,EU,CACR,1 month ago,80543,93661,116,47520,51,shotgun_spotted
stalcrafthq,RU,MEGAFOG,2 weeks ago,413472,185181,45,150538,81,
stalcrafthq,NA,Luv,4 months ago,62852,31830,51,12407,39,
stalcrafthq,EU,Markus_Mira,6 months ago,78810,84445,107,37358,44,shotgun_spotted
stalcrafthq,RU,Watch_out,4 months ago,50135,24159,48,10229,42,
stalcrafthq,RU,Микхаэль,5 months ago,980358,456932,47,245055,54,
stalcrafthq,EU,Projekt,4 months ago,1323940,837779,63,331725,40,
stalcrafthq,RU,S_u_R_a_H,4 months ago,446275,147176,33,97304,66,
stalcrafthq,RU,Joshua_Rupriht,less than an hour ago,366667,171088,47,128980,75,
stalcrafthq,RU,Polypok,4 months ago,167900,51598,31,22193,43,
stalcrafthq,EU,MupBcTpagaHuu,3 months ago,464782,211582,46,128636,61,
stalcrafthq,RU,Мишка_Слон,6 months ago,135439,115761,85,52818,46,
stalcrafthq,SEA,Short_,less than an hour ago,145728,80415,55,85020,106,headshots_over_hits
stalcrafthq,RU,VoidShot,less than an hour ago,1247010,1116892,90,500523,45,
stalcrafthq,NA,Facts,11 hours ago,294630,126174,43,102993,82,
stalcrafthq,RU,F_A_N_K,less than an hour ago,3552770,2099488,59,849960,40,
stalcrafthq,NA,Hots,2 days ago,93,44,47,30,68,low_sample
stalcrafthq,RU,Kipchak,less than an hour ago,1917046,923209,48,394699,43,
stalcrafthq,RU,ASCII,19 hours ago,1532272,1478145,96,600479,41,
stalcrafthq,NA,SirLagsAlot,6 hours ago,278171,160299,58,112987,70,
stalcrafthq,RU,Чвикс,less than an hour ago,14593061,7011463,48,4239357,60,
stalcrafthq,NA,Syi,7 months ago,826368,549720,67,264097,48,
stalcrafthq,NA,Kalz,10 months ago,29376,16940,58,6147,36,
stalcrafthq,EU,KingOfCurses,8 months ago,114928,74619,65,34885,47,
stalcrafthq,SEA,HE_R,5 months ago,131001,79145,60,70093,89,
stalcrafthq,EU,Fallenmann,6 days ago,74900,43762,58,32957,75,
stalcrafthq,NA,Madjackal,10 months ago,146653,133784,91,47554,36,
stalcrafthq,EU,Apostol_ptrd,10 months ago,965038,602754,62,268817,45,
stalcrafthq,RU,Батя_Орехов_,8 months ago,265454,290068,109,110585,38,shotgun_spotted
stalcrafthq,NA,Zephiron,7 months ago,30563,25592,84,13774,54,
stalcrafthq,EU,Mallidora,10 hours ago,1544262,694806,45,498029,72,
stalcrafthq,RU,Пучок_Сена,less than an hour ago,997251,455935,46,354669,78,
stalcrafthq,SEA,SakanS,11 hours ago,1237568,697488,56,557625,80,
