source,region,nickname,username,uuid,alliance,profile_url,fetched_at,last_login,candidate_last_searched_at,candidate_search_count,registered_at,playtime_ms,kills,deaths,kd_raw,shots_fired,shots_hit,accuracy_pct,hit_head,hit_body,hit_limbs,headshot_hit_pct,body_hit_pct,limb_hit_pct,kills_battlefield,deaths_battlefield,death_bul_dea,death_exp_dea,death_fal_dea,death_rad_dea,death_col_dea,death_ble_to_dea,death_ano_dea,death_lig_ano_dea,death_car_ano_dea,death_ele_ano_dea,death_tra_ano_dea,death_kis_ano_dea,death_ste_ano_dea,death_cir_ano_dea,death_fun_ano_dea,suicides,notes
stalzone_wiki,ru,Кострюльков,Кострюльков,be2edfb6-2115-45ae-a2cd-b405cd8060f9,duty,https://stalzone.wiki/characters/ru/%D0%9A%D0%BE%D1%81%D1%82%D1%80%D1%8E%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2,2026-07-21T04:17:13+00:00,2026-07-21T03:53:26.983Z,2026-07-21T04:16:40.581617Z,1,2023-09-18T06:40:32.614Z,4550620449,3209,12379,0.2592293400113095,815729,373192,45.7495,188672,277488,99440,50.5563,74.3553,26.6458,549,2888,9843,262,146,38,150,131,261,21,27,24,1,2,4,6,143,534,stalzone_wiki_recent
stalzone_wiki,ru,ADHH,ADHH,19e207a6-8d65-4405-bbdd-e001552062c8,freedom,https://stalzone.wiki/characters/ru/ADHH,2026-07-21T04:17:13+00:00,2026-07-19T16:01:45.168Z,2026-07-21T04:16:26.207006Z,71,2018-12-17T13:24:51.520Z,13426500030,30260,19839,1.5252784918594686,2130654,1002512,47.0518,499176,406732,215436,49.7925,40.5713,21.4896,22710,12873,17645,302,59,21,203,26,233,11,30,10,3,1,,,172,557,stalzone_wiki_recent
stalzone_wiki,ru,Valenrin,Valenrin,4eebec84-cb20-4150-9755-2780b65334fc,duty,https://stalzone.wiki/characters/ru/Valenrin,2026-07-21T04:17:13+00:00,2026-07-21T04:13:20.050Z,2026-07-21T04:16:25.737305Z,112,2023-02-07T08:00:47.819Z,4233269477,3945,7345,0.5371000680735194,960029,673850,70.1906,310685,292190,118003,46.106,43.3613,17.5118,285,806,5484,208,59,54,69,57,155,10,23,20,2,3,2,2,89,360,stalzone_wiki_recent
stalzone_wiki,ru,ПапаМожетВсе,ПапаМожетВсе,f8449cd9-03d3-473f-b73f-fa46d06e5937,covenant,https://stalzone.wiki/characters/ru/%D0%9F%D0%B0%D0%BF%D0%B0%D0%9C%D0%BE%D0%B6%D0%B5%D1%82%D0%92%D1%81%D0%B5,2026-07-21T04:17:13+00:00,2026-07-20T19:25:23.285Z,2026-07-21T04:16:25.319050Z,180,2024-08-14T18:05:28.361Z,4223006188,29988,23107,1.2977885489245684,1503404,677232,45.0466,335905,261384,136160,49.5997,38.5959,20.1054,2374,2974,21306,289,78,23,114,110,173,11,7,26,,2,4,1,109,271,stalzone_wiki_recent
stalzone_wiki,ru,SCXNEWS,SCXNEWS,46c680cb-8951-412b-961b-09b1e2b93fec,freedom,https://stalzone.wiki/characters/ru/SCXNEWS,2026-07-21T04:17:13+00:00,2026-07-08T11:13:53.990Z,2026-07-21T04:16:24.841323Z,254,2024-09-20T11:46:01.404Z,1726784872,990,3253,0.30433446049800184,268354,95345,35.5296,43465,48794,26513,45.5871,51.1763,27.8074,1,19,2631,76,37,5,18,14,53,3,1,4,,,3,2,38,209,stalzone_wiki_recent
stalzone_wiki,ru,Bupyc,Bupyc,fb044371-ac8b-4dfc-9b2d-dd2e831997ec,duty,https://stalzone.wiki/characters/ru/Bupyc,2026-07-21T04:17:13+00:00,2026-07-19T07:21:38.422Z,2026-07-21T04:16:24.447886Z,375,2017-10-31T05:37:36.034Z,5937001101,5623,8133,0.6913807942948481,1329755,415587,31.2529,151643,153279,110665,36.4889,36.8825,26.6286,3468,4027,6420,193,46,51,216,64,256,24,53,15,13,12,2,1,132,245,stalzone_wiki_recent
stalzone_wiki,ru,Deus,Deus,2cc0cd43-4be6-4b60-ba01-016cb9adf525,covenant,https://stalzone.wiki/characters/ru/Deus,2026-07-21T04:17:13+00:00,2026-07-20T19:22:38.804Z,2026-07-21T04:16:23.954324Z,404,2017-10-31T10:01:27.268Z,39759065643,240094,48422,4.958366031968939,10790915,2605231,24.1428,1183647,874962,548439,45.4335,33.5848,21.0515,118940,18426,40682,503,303,70,2083,211,756,43,137,39,20,40,8,1,466,2271,stalzone_wiki_recent
stalzone_wiki,ru,MitoLL,MitoLL,836d6edf-d33c-4137-8d5a-3e3e932f1670,duty,https://stalzone.wiki/characters/ru/MitoLL,2026-07-21T04:17:13+00:00,2026-07-20T17:26:30.799Z,2026-07-21T04:16:23.474903Z,496,2021-12-31T06:42:43.153Z,31258792909,12411,10691,1.1608829856888971,1456263,930331,63.8848,357968,376405,199773,38.4775,40.4593,21.4733,,,6182,264,32,56,120,49,307,9,64,14,2,,5,2,205,1466,stalzone_wiki_recent
stalzone_wiki,ru,Я_заец,Я_заец,fafcfb1e-1e2c-4961-b2d2-1d5110cebd3b,duty,https://stalzone.wiki/characters/ru/%D0%AF_%D0%B7%D0%B0%D0%B5%D1%86,2026-07-21T04:17:13+00:00,2026-07-17T09:10:58.942Z,2026-07-21T04:16:22.621451Z,2,2025-03-18T09:58:19.796Z,1825499630,3413,8718,0.39148887359486123,309184,107251,34.6884,49113,45829,23199,45.7926,42.7306,21.6306,18,229,7229,142,82,12,407,162,155,8,12,37,,3,,,79,212,stalzone_wiki_recent
stalzone_wiki,ru,Xoma_Xomich,Xoma_Xomich,3c0c7c54-bade-4e4d-a602-801b66a9a2ce,freedom,https://stalzone.wiki/characters/ru/Xoma_Xomich,2026-07-21T04:17:13+00:00,2026-07-21T04:09:35.971Z,2026-07-21T04:16:18.751521Z,2,2025-12-07T10:54:25.722Z,2893487201,3307,7403,0.44671079292178845,1078804,488069,45.2417,329717,147160,78446,67.5554,30.1515,16.0727,78,446,5616,466,61,9,230,34,85,5,3,2,,1,6,,67,388,stalzone_wiki_recent
stalzone_wiki,ru,Панчикс,Панчикс,1e3fffb3-5152-420f-83c4-628a9cd507f3,merc,https://stalzone.wiki/characters/ru/%D0%9F%D0%B0%D0%BD%D1%87%D0%B8%D0%BA%D1%81,2026-07-21T04:17:13+00:00,2026-07-20T21:29:20.339Z,,472,2022-02-24T14:20:03.645Z,33134001284,161098,81229,1.9832572110945599,8727261,5967969,68.3831,2679676,2308056,992927,44.901,38.6741,16.6376,77448,25813,70283,1144,387,198,1365,233,931,27,212,56,9,22,2,6,585,3739,stalzone_wiki_popular_week
stalzone_wiki,ru,ziv,ZIV,84e22e98-ad8c-48c2-8d44-94b5185eb7ff,merc,https://stalzone.wiki/characters/ru/ziv,2026-07-21T04:17:13+00:00,2026-02-13T16:56:22.957Z,,299,2017-10-31T05:04:36.566Z,15025871847,68665,34081,2.014758956603386,5845243,963514,16.4837,435899,295731,231884,45.2405,30.693,24.0665,51003,21640,30571,805,87,54,487,62,339,7,30,13,5,9,4,1,268,883,stalzone_wiki_popular_week
stalzone_wiki,ru,ЧемпионКарфагена,ЧемпионКарфагена,1b8fe6d8-bbcd-4b35-8cfb-c86c9451c81f,merc,https://stalzone.wiki/characters/ru/%D0%A7%D0%B5%D0%BC%D0%BF%D0%B8%D0%BE%D0%BD%D0%9A%D0%B0%D1%80%D1%84%D0%B0%D0%B3%D0%B5%D0%BD%D0%B0,2026-07-21T04:17:13+00:00,2026-07-20T17:58:48.223Z,,204,2024-02-19T14:49:49.569Z,25278996856,48702,25867,1.8827850156570147,3242277,2770293,85.4428,1284703,1059961,594653,46.3743,38.2617,21.4653,15975,5306,23667,370,73,9,443,61,76,6,2,13,1,1,1,,51,447,stalzone_wiki_popular_week
